1741478289894	FirefoxAccounts	DEBUG	getOAuthToken returning a cached token
1741478289895	Services.Common.RESTRequest	DEBUG	GET request to https://profile.accounts.firefox.com/v1/profile
1741478289896	Sync.Collection	DEBUG	POST Length: 2499
1741478290128	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478290130	Services.Common.RESTRequest	DEBUG	GET https://profile.accounts.firefox.com/v1/profile 304
1741478290139	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478298579	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478303591	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478303592	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478303598	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478303599	Sync.Engine.Tabs	INFO	Posting 1 records of 2499 bytes with batch=true
1741478303599	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478303600	Sync.Collection	DEBUG	POST Length: 2499
1741478303822	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478303834	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478312386	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478317398	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478317398	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478317405	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478317406	Sync.Engine.Tabs	INFO	Posting 1 records of 2499 bytes with batch=true
1741478317406	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478317406	Sync.Collection	DEBUG	POST Length: 2499
1741478317631	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478317641	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478321116	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478325756	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1741478326375	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478326375	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478326382	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478326382	Sync.Engine.Tabs	INFO	Posting 1 records of 2499 bytes with batch=true
1741478326383	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478326383	Sync.Collection	DEBUG	POST Length: 2499
1741478326612	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478326624	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478326838	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478327928	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1741478331300	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1741478331307	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1741478331852	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478331852	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478331861	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478331865	Sync.Engine.Tabs	INFO	Posting 1 records of 2475 bytes with batch=true
1741478331865	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478331866	Sync.Collection	DEBUG	POST Length: 2475
1741478332091	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478332101	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478335736	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478337581	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1741478340712	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1741478340740	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478340740	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478340744	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478340745	Sync.Engine.Tabs	INFO	Posting 1 records of 2475 bytes with batch=true
1741478340745	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478340746	Sync.Collection	DEBUG	POST Length: 2475
1741478340971	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478340981	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478347387	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478352401	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478352401	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478352410	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478352412	Sync.Engine.Tabs	INFO	Posting 1 records of 2475 bytes with batch=true
1741478352412	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478352413	Sync.Collection	DEBUG	POST Length: 2475
1741478352637	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478352649	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478358481	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
